ensembl_gene_id	external_gene_name	ensembl_transcript_id_version
ENSMUSG00000000001	Gnai3	ENSMUST00000000001.4
ENSMUSG00000000049	Apoh	ENSMUST00000000049.5
ENSMUSG00000000094	Tbx4	ENSMUST00000000096.11
ENSMUSG00000055022	Cntn1	ENSMUST00000000109.10
ENSMUSG00000000305	Cdh4	ENSMUST00000000314.12
ENSMUSG00000000339	Rtca	ENSMUST00000000348.14
ENSMUSG00000000340	Dbt	ENSMUST00000000349.10
ENSMUSG00000028494	Plin2	ENSMUST00000000466.12
ENSMUSG00000000531	Grasp	ENSMUST00000000543.5
ENSMUSG00000000532	Acvr1b	ENSMUST00000000544.11
ENSMUSG00000032050	Rdx	ENSMUST00000000590.15
ENSMUSG00000000631	Myo18a	ENSMUST00000000645.12
ENSMUSG00000000730	Dnmt3l	ENSMUST00000000746.11
ENSMUSG00000000787	Ddx3x	ENSMUST00000000804.6
ENSMUSG00000027490	E2f1	ENSMUST00000000894.5
ENSMUSG00000000876	Pxmp4	ENSMUST00000000896.10
ENSMUSG00000000915	Hip1r	ENSMUST00000000939.14
ENSMUSG00000000976	Heatr6	ENSMUST00000001002.7
ENSMUSG00000001052	Sec24b	ENSMUST00000001079.14
ENSMUSG00000001120	Pcbp3	ENSMUST00000001148.10
ENSMUSG00000001228	Uhrf1	ENSMUST00000001258.14
ENSMUSG00000001416	Cct3	ENSMUST00000001452.13
ENSMUSG00000001419	Mef2d	ENSMUST00000001455.12
ENSMUSG00000001542	Ell2	ENSMUST00000001583.7
ENSMUSG00000001672	Marveld3	ENSMUST00000001722.13
ENSMUSG00000001819	Hoxd13	ENSMUST00000001872.4
ENSMUSG00000001964	Emd	ENSMUST00000002029.12
ENSMUSG00000002031	Ift46	ENSMUST00000002099.10
ENSMUSG00000002043	Trappc6a	ENSMUST00000002112.14
ENSMUSG00000002076	Hsf2bp	ENSMUST00000002145.11
ENSMUSG00000002205	Vrk3	ENSMUST00000002275.14
ENSMUSG00000002332	Dhrs1	ENSMUST00000002403.9
ENSMUSG00000024206	Rfx2	ENSMUST00000002444.14
ENSMUSG00000002372	Ranbp3	ENSMUST00000002445.9
ENSMUSG00000002379	Ndufa11	ENSMUST00000002452.7
ENSMUSG00000002458	Rgs19	ENSMUST00000002532.8
ENSMUSG00000002658	Gtf2f1	ENSMUST00000002733.6
ENSMUSG00000002660	Clpp	ENSMUST00000002735.8
ENSMUSG00000002661	Alkbh7	ENSMUST00000002737.6
ENSMUSG00000002718	Cse1l	ENSMUST00000002790.13
ENSMUSG00000002748	Baz1b	ENSMUST00000002825.5
ENSMUSG00000059409	Ppp2r5d	ENSMUST00000002839.8
ENSMUSG00000002763	Pex6	ENSMUST00000002840.8
ENSMUSG00000002767	Mrpl2	ENSMUST00000002844.13
ENSMUSG00000002768	Mea1	ENSMUST00000002845.7
ENSMUSG00000002769	Gnmt	ENSMUST00000002846.8
ENSMUSG00000002900	Lamb1	ENSMUST00000002979.15
ENSMUSG00000002957	Ap2a2	ENSMUST00000003038.11
ENSMUSG00000003200	Sh3gl1	ENSMUST00000003268.10
ENSMUSG00000003206	Ebi3	ENSMUST00000003274.7
ENSMUSG00000003352	Cacnb3	ENSMUST00000003442.8
ENSMUSG00000003360	Ddx23	ENSMUST00000003450.14
ENSMUSG00000003458	Ncstn	ENSMUST00000003550.10
ENSMUSG00000024002	Brd4	ENSMUST00000003726.15
ENSMUSG00000003731	Kpna6	ENSMUST00000003828.10
ENSMUSG00000042156	Dzip1	ENSMUST00000004055.9
ENSMUSG00000004100	Ppan	ENSMUST00000004203.5
ENSMUSG00000070319	Eif3g	ENSMUST00000004206.9
ENSMUSG00000004264	Phb2	ENSMUST00000004375.15
ENSMUSG00000004268	Emg1	ENSMUST00000004379.7
ENSMUSG00000004317	Clcn5	ENSMUST00000004428.13
ENSMUSG00000004460	Dnajb11	ENSMUST00000004574.13
ENSMUSG00000004462	Tbccd1	ENSMUST00000004576.7
ENSMUSG00000004530	Coro1c	ENSMUST00000004646.12
ENSMUSG00000004667	Polr2e	ENSMUST00000004786.9
ENSMUSG00000004843	Chmp2b	ENSMUST00000004965.7
ENSMUSG00000063952	Brpf3	ENSMUST00000004985.10
ENSMUSG00000004865	Srpk1	ENSMUST00000004987.16
ENSMUSG00000053436	Mapk14	ENSMUST00000004990.13
ENSMUSG00000004880	Lbr	ENSMUST00000005003.11
ENSMUSG00000004936	Map2k1	ENSMUST00000005066.8
ENSMUSG00000030180	Kdm5a	ENSMUST00000005108.9
ENSMUSG00000005102	Eif2ak4	ENSMUST00000005233.11
ENSMUSG00000005131	4930550C14Rik	ENSMUST00000005262.1
ENSMUSG00000059552	Trp53	ENSMUST00000005371.11
ENSMUSG00000005370	Msh6	ENSMUST00000005503.4
ENSMUSG00000005371	Fbxo11	ENSMUST00000005504.14
ENSMUSG00000005469	Prkaca	ENSMUST00000005606.7
ENSMUSG00000005470	Asf1b	ENSMUST00000005607.8
ENSMUSG00000005483	Dnajb1	ENSMUST00000005620.9
ENSMUSG00000005493	Msh4	ENSMUST00000005630.10
ENSMUSG00000005514	Por	ENSMUST00000005651.12
ENSMUSG00000005672	Kit	ENSMUST00000005815.6
ENSMUSG00000005687	Bcas2	ENSMUST00000005830.14
ENSMUSG00000005698	Ctcf	ENSMUST00000005841.15
ENSMUSG00000005779	Psmb4	ENSMUST00000005923.6
ENSMUSG00000005802	Slc30a4	ENSMUST00000005952.10
ENSMUSG00000028138	Adh5	ENSMUST00000005964.6
ENSMUSG00000005881	Ergic3	ENSMUST00000006035.12
ENSMUSG00000005981	Trap1	ENSMUST00000006137.8
ENSMUSG00000006378	Gcat	ENSMUST00000006544.8
ENSMUSG00000006412	Pfdn2	ENSMUST00000006579.4
ENSMUSG00000090213	Tmem189	ENSMUST00000006587.6
ENSMUSG00000006494	Pdk1	ENSMUST00000006669.5
ENSMUSG00000020923	Ubtf	ENSMUST00000006754.13
ENSMUSG00000032604	Qars	ENSMUST00000006838.15
ENSMUSG00000006673	Qrich1	ENSMUST00000006851.14
ENSMUSG00000006676	Usp19	ENSMUST00000006854.12
ENSMUSG00000006678	Pola1	ENSMUST00000006856.2
ENSMUSG00000006818	Sod2	ENSMUST00000007012.5
ENSMUSG00000007021	Syngr3	ENSMUST00000007236.4
ENSMUSG00000007080	Pole	ENSMUST00000007296.11
ENSMUSG00000007589	Tinf2	ENSMUST00000007733.7
ENSMUSG00000007603	Dus3l	ENSMUST00000007747.9
ENSMUSG00000007656	Arpp19	ENSMUST00000007800.7
ENSMUSG00000007670	Khsrp	ENSMUST00000007814.9
ENSMUSG00000007815	Rhoa	ENSMUST00000007959.13
ENSMUSG00000007908	Hmgcll1	ENSMUST00000008052.12
ENSMUSG00000008429	Herpud2	ENSMUST00000008573.8
ENSMUSG00000008682	Rpl10	ENSMUST00000008826.13
ENSMUSG00000058600	Rpl30	ENSMUST00000009039.5
ENSMUSG00000008958	Vps72	ENSMUST00000009102.8
ENSMUSG00000009013	Dynll1	ENSMUST00000009157.3
ENSMUSG00000009112	Bcl2l13	ENSMUST00000009256.3
ENSMUSG00000000131	Xpo6	ENSMUST00000009344.15
ENSMUSG00000009535	Rnmt	ENSMUST00000009679.10
ENSMUSG00000009545	Kcnq1	ENSMUST00000009689.10
ENSMUSG00000009549	Srp14	ENSMUST00000009693.14
ENSMUSG00000019916	P4ha1	ENSMUST00000009789.14
ENSMUSG00000009670	Tex11	ENSMUST00000009814.9
ENSMUSG00000009741	Ubp1	ENSMUST00000009885.13
ENSMUSG00000010277	2610507B11Rik	ENSMUST00000010421.6
ENSMUSG00000010362	Rdm1	ENSMUST00000010506.9
ENSMUSG00000010376	Nedd8	ENSMUST00000010520.9
ENSMUSG00000010406	Mrpl52	ENSMUST00000010550.11
ENSMUSG00000010760	Phlda2	ENSMUST00000010904.4
ENSMUSG00000011589	Fsd1	ENSMUST00000011733.8
ENSMUSG00000012117	Dhdds	ENSMUST00000012262.11
ENSMUSG00000032179	Bmp5	ENSMUST00000012281.7
ENSMUSG00000013160	Atp6v0d1	ENSMUST00000013304.7
ENSMUSG00000013593	Ndufs2	ENSMUST00000013737.12
ENSMUSG00000025417	Pip4k2c	ENSMUST00000013970.8
ENSMUSG00000014313	Cox6c	ENSMUST00000014457.14
ENSMUSG00000061613	U2af1	ENSMUST00000014684.5
ENSMUSG00000014599	Csf1	ENSMUST00000014743.9
ENSMUSG00000014668	Chfr	ENSMUST00000014812.12
ENSMUSG00000014859	E2f4	ENSMUST00000015003.9
ENSMUSG00000014956	Ppp1cb	ENSMUST00000015100.14
ENSMUSG00000020694	Tlk2	ENSMUST00000015107.12
ENSMUSG00000015316	Slamf1	ENSMUST00000015460.4
ENSMUSG00000015357	Clpx	ENSMUST00000015501.10
ENSMUSG00000015461	Atf6b	ENSMUST00000015605.14
ENSMUSG00000015605	Srf	ENSMUST00000015749.6
ENSMUSG00000015647	Lama5	ENSMUST00000015791.5
ENSMUSG00000015668	Pdzd11	ENSMUST00000015812.11
ENSMUSG00000015961	Adss	ENSMUST00000016105.8
ENSMUSG00000016024	Lbp	ENSMUST00000016168.8
ENSMUSG00000016028	Celsr1	ENSMUST00000016172.9
ENSMUSG00000016252	Atp5e	ENSMUST00000016396.7
ENSMUSG00000016253	Nelfcd	ENSMUST00000016397.6
ENSMUSG00000016257	Prelid3b	ENSMUST00000016401.14
ENSMUSG00000016552	Foxred2	ENSMUST00000016696.12
ENSMUSG00000016637	Ift27	ENSMUST00000016781.7
ENSMUSG00000022442	Ttll1	ENSMUST00000016897.11
ENSMUSG00000016758	Bik	ENSMUST00000016902.4
ENSMUSG00000016833	Mrps18c	ENSMUST00000016977.14
ENSMUSG00000060147	Serpinb6a	ENSMUST00000017188.13
ENSMUSG00000017146	Brca1	ENSMUST00000017290.10
ENSMUSG00000017404	Rpl19	ENSMUST00000017548.6
ENSMUSG00000017428	Psmd11	ENSMUST00000017572.13
ENSMUSG00000017652	Cd40	ENSMUST00000017799.11
ENSMUSG00000017697	Ada	ENSMUST00000017841.3
ENSMUSG00000017707	Serinc3	ENSMUST00000017851.3
ENSMUSG00000017756	Slc12a7	ENSMUST00000017900.8
ENSMUSG00000017831	Rab5a	ENSMUST00000017975.6
ENSMUSG00000017858	Ift52	ENSMUST00000018002.12
ENSMUSG00000017861	Mybl2	ENSMUST00000018005.9
ENSMUSG00000017969	Ptgis	ENSMUST00000018113.7
ENSMUSG00000017999	Ddx27	ENSMUST00000018143.15
ENSMUSG00000018040	Rrp7a	ENSMUST00000018184.9
ENSMUSG00000018042	Cyb5r3	ENSMUST00000018186.15
ENSMUSG00000018160	Med1	ENSMUST00000018304.6
ENSMUSG00000018169	Mfng	ENSMUST00000018313.5
ENSMUSG00000020828	Pld2	ENSMUST00000018429.11
ENSMUSG00000018287	Spag7	ENSMUST00000018431.12
ENSMUSG00000018322	Tomm34	ENSMUST00000018466.3
ENSMUSG00000018326	Ywhab	ENSMUST00000018470.9
ENSMUSG00000022329	Stk3	ENSMUST00000018476.13
ENSMUSG00000018362	Kpna2	ENSMUST00000018506.12
ENSMUSG00000018377	Vezf1	ENSMUST00000018521.10
ENSMUSG00000018541	Cwc25	ENSMUST00000018685.8
ENSMUSG00000018554	Ybx2	ENSMUST00000018698.11
ENSMUSG00000018567	Gabarap	ENSMUST00000018711.14
ENSMUSG00000018569	Cldn7	ENSMUST00000018713.12
ENSMUSG00000018572	Phf23	ENSMUST00000018716.9
ENSMUSG00000018677	Slc25a39	ENSMUST00000018821.8
ENSMUSG00000018736	Ndel1	ENSMUST00000018880.13
ENSMUSG00000018740	Slc25a35	ENSMUST00000018884.5
ENSMUSG00000018770	Atp5g3	ENSMUST00000018914.2
ENSMUSG00000000037	Scml2	ENSMUST00000019101.10
ENSMUSG00000000568	Hnrnpd	ENSMUST00000019128.14
ENSMUSG00000019039	Dalrd3	ENSMUST00000019183.13
ENSMUSG00000019210	Atp6v1e1	ENSMUST00000019354.10
ENSMUSG00000020888	Dvl2	ENSMUST00000019362.14
ENSMUSG00000019297	Nop9	ENSMUST00000019441.8
ENSMUSG00000078652	Psme3	ENSMUST00000019470.13
ENSMUSG00000019338	Zfp687	ENSMUST00000019482.7
ENSMUSG00000005481	Ddx39	ENSMUST00000019576.14
ENSMUSG00000002504	Slc9a3r2	ENSMUST00000019684.12
ENSMUSG00000019659	Ccdc12	ENSMUST00000019803.8
ENSMUSG00000019715	Gle1	ENSMUST00000019859.8
ENSMUSG00000019923	Zwint	ENSMUST00000020081.10
ENSMUSG00000019927	Ube2d1	ENSMUST00000020085.6
ENSMUSG00000019943	Atp2b1	ENSMUST00000020107.7
ENSMUSG00000019948	Actr6	ENSMUST00000020109.4
ENSMUSG00000019951	Uhrf1bp1l	ENSMUST00000020112.6
ENSMUSG00000020048	Hsp90b1	ENSMUST00000020238.13
ENSMUSG00000009647	Mcu	ENSMUST00000020312.12
ENSMUSG00000020163	Uqcr11	ENSMUST00000020372.5
ENSMUSG00000020250	Txnrd1	ENSMUST00000020484.7
ENSMUSG00000020255	D10Wsu102e	ENSMUST00000020488.8
ENSMUSG00000020257	Wdr82	ENSMUST00000020490.12
ENSMUSG00000020273	Papolg	ENSMUST00000020513.9
ENSMUSG00000020283	Pex13	ENSMUST00000020523.3
ENSMUSG00000020286	1700093K21Rik	ENSMUST00000020527.12
ENSMUSG00000020288	Ahsa2	ENSMUST00000020529.12
ENSMUSG00000020330	Hmmr	ENSMUST00000020579.8
ENSMUSG00000020483	Dynll2	ENSMUST00000020775.8
ENSMUSG00000020516	Rps6kb1	ENSMUST00000020824.14
ENSMUSG00000020521	Rnft1	ENSMUST00000020827.6
ENSMUSG00000020525	Ppm1d	ENSMUST00000020835.15
ENSMUSG00000020669	Sh3yl1	ENSMUST00000020997.14
ENSMUSG00000020673	Tpo	ENSMUST00000021005.14
ENSMUSG00000020689	Itgb3	ENSMUST00000021028.4
ENSMUSG00000020720	Psmd12	ENSMUST00000021063.12
ENSMUSG00000020723	Cacng4	ENSMUST00000021066.3
ENSMUSG00000020770	Unk	ENSMUST00000021116.11
ENSMUSG00000020773	Trim47	ENSMUST00000021120.5
ENSMUSG00000020778	Ten1	ENSMUST00000021130.6
ENSMUSG00000020780	Srp68	ENSMUST00000021133.15
ENSMUSG00000020794	Ube2g1	ENSMUST00000021148.12
ENSMUSG00000020847	Rph3al	ENSMUST00000021208.10
ENSMUSG00000020848	Doc2b	ENSMUST00000021209.7
ENSMUSG00000020897	Aurkb	ENSMUST00000021277.5
ENSMUSG00000020898	Ctc1	ENSMUST00000021278.13
ENSMUSG00000020905	Usp43	ENSMUST00000021288.9
ENSMUSG00000020956	Dtd2	ENSMUST00000021339.7
ENSMUSG00000021079	Timm9	ENSMUST00000021486.9
ENSMUSG00000021190	Lgmn	ENSMUST00000021607.8
ENSMUSG00000021192	Golga5	ENSMUST00000021609.9
ENSMUSG00000021194	Chga	ENSMUST00000021610.6
ENSMUSG00000052392	Acot4	ENSMUST00000021652.4
ENSMUSG00000021228	Acot3	ENSMUST00000021653.7
ENSMUSG00000021241	Isca2	ENSMUST00000021667.6
ENSMUSG00000021242	Npc2	ENSMUST00000021668.9
ENSMUSG00000021257	Angel1	ENSMUST00000021682.8
ENSMUSG00000021483	Cdk20	ENSMUST00000021939.7
ENSMUSG00000021555	Naa35	ENSMUST00000022038.14
ENSMUSG00000021556	Golm1	ENSMUST00000022039.6
ENSMUSG00000021591	Glrx	ENSMUST00000022082.7
ENSMUSG00000021610	Clptm1l	ENSMUST00000022102.8
ENSMUSG00000021611	Tert	ENSMUST00000022104.8
ENSMUSG00000021621	Zcchc9	ENSMUST00000022121.12
ENSMUSG00000021645	Smn1	ENSMUST00000022147.14
ENSMUSG00000021670	Hmgcr	ENSMUST00000022176.14
ENSMUSG00000021702	Thbs4	ENSMUST00000022213.7
ENSMUSG00000021706	Zfyve16	ENSMUST00000022217.8
ENSMUSG00000021707	Dhfr	ENSMUST00000022218.5
ENSMUSG00000014850	Msh3	ENSMUST00000022220.12
ENSMUSG00000021725	Parp8	ENSMUST00000022239.7
ENSMUSG00000021728	Emb	ENSMUST00000022242.8
ENSMUSG00000021731	Mrps30	ENSMUST00000022245.9
ENSMUSG00000021732	Fgf10	ENSMUST00000022246.8
ENSMUSG00000021745	Ptprg	ENSMUST00000022264.12
ENSMUSG00000021749	Oit1	ENSMUST00000022269.6
ENSMUSG00000021779	Thrb	ENSMUST00000022304.9
ENSMUSG00000021807	Rtraf	ENSMUST00000022341.6
ENSMUSG00000021810	Ecd	ENSMUST00000022344.3
ENSMUSG00000021832	Psmc6	ENSMUST00000022380.8
ENSMUSG00000021945	Zmym2	ENSMUST00000022511.9
ENSMUSG00000021947	Cryl1	ENSMUST00000022517.8
ENSMUSG00000021948	Prkcd	ENSMUST00000022521.12
ENSMUSG00000021959	Lats2	ENSMUST00000022531.13
ENSMUSG00000021965	Ska3	ENSMUST00000022536.2
ENSMUSG00000021978	Extl3	ENSMUST00000022550.7
ENSMUSG00000035469	Rcbtb1	ENSMUST00000022551.13
ENSMUSG00000021981	Cab39l	ENSMUST00000022553.5
ENSMUSG00000021996	Esd	ENSMUST00000022573.16
ENSMUSG00000021999	Cpb2	ENSMUST00000022576.9
ENSMUSG00000022000	Zc3h13	ENSMUST00000022577.5
ENSMUSG00000022003	Slc25a30	ENSMUST00000022580.7
ENSMUSG00000022008	Gpalpp1	ENSMUST00000022585.4
ENSMUSG00000022009	Nufip1	ENSMUST00000022586.1
ENSMUSG00000022010	Tsc22d1	ENSMUST00000022587.9
ENSMUSG00000022012	Enox1	ENSMUST00000022589.8
ENSMUSG00000022014	Epsti1	ENSMUST00000022591.15
ENSMUSG00000022015	Tnfsf11	ENSMUST00000022592.7
ENSMUSG00000022020	Naa16	ENSMUST00000022597.14
ENSMUSG00000022021	Diaph3	ENSMUST00000022599.13
ENSMUSG00000022022	Mtrf1	ENSMUST00000022600.3
ENSMUSG00000022023	Wbp4	ENSMUST00000022601.6
ENSMUSG00000022031	Elp3	ENSMUST00000022609.6
ENSMUSG00000022033	Pbk	ENSMUST00000022612.9
ENSMUSG00000022034	Esco2	ENSMUST00000022613.9
ENSMUSG00000022035	Ccdc25	ENSMUST00000022614.6
ENSMUSG00000022043	Trim35	ENSMUST00000022623.12
ENSMUSG00000022075	Rhobtb2	ENSMUST00000022665.3
ENSMUSG00000022089	Bin3	ENSMUST00000022680.8
ENSMUSG00000022090	Pdlim2	ENSMUST00000022681.10
ENSMUSG00000022105	Rb1	ENSMUST00000022701.6
ENSMUSG00000022106	Rcbtb2	ENSMUST00000022702.12
ENSMUSG00000022108	Itm2b	ENSMUST00000022704.8
ENSMUSG00000022109	Med4	ENSMUST00000022705.6
ENSMUSG00000022110	Sucla2	ENSMUST00000022706.6
ENSMUSG00000022120	Rnf219	ENSMUST00000022716.3
ENSMUSG00000022130	Tgds	ENSMUST00000022727.9
ENSMUSG00000022131	Gpr180	ENSMUST00000022728.3
ENSMUSG00000022136	Dnajc3	ENSMUST00000022734.8
ENSMUSG00000022174	Dad1	ENSMUST00000022781.7
ENSMUSG00000022175	Lrp10	ENSMUST00000022782.9
ENSMUSG00000022177	Haus4	ENSMUST00000022784.8
ENSMUSG00000022185	Acin1	ENSMUST00000022793.14
ENSMUSG00000022185	Acin1	ENSMUST00000022794.13
ENSMUSG00000022193	Psmb5	ENSMUST00000022803.5
ENSMUSG00000022194	Pabpn1	ENSMUST00000022808.13
ENSMUSG00000022265	Ank	ENSMUST00000022875.6
ENSMUSG00000022312	Eif3h	ENSMUST00000022925.9
ENSMUSG00000022314	Rad21	ENSMUST00000022927.10
ENSMUSG00000022323	Rida	ENSMUST00000022946.5
ENSMUSG00000022365	Derl1	ENSMUST00000022993.6
ENSMUSG00000022394	L3mbtl2	ENSMUST00000023029.14
ENSMUSG00000022400	Rbx1	ENSMUST00000023036.6
ENSMUSG00000022404	Slc25a17	ENSMUST00000023040.8
ENSMUSG00000022412	Mief1	ENSMUST00000023048.11
ENSMUSG00000022420	Dnal4	ENSMUST00000023055.7
ENSMUSG00000022426	Josd1	ENSMUST00000023061.6
ENSMUSG00000022427	Tomm22	ENSMUST00000023062.4
ENSMUSG00000022428	Cby1	ENSMUST00000023064.8
ENSMUSG00000022429	Dmc1	ENSMUST00000023065.7
ENSMUSG00000022434	Fam118a	ENSMUST00000023069.8
ENSMUSG00000022437	Samm50	ENSMUST00000023071.7
ENSMUSG00000022450	Ndufa6	ENSMUST00000023085.6
ENSMUSG00000022451	Twf1	ENSMUST00000023087.12
ENSMUSG00000022466	Rpap3	ENSMUST00000023104.6
ENSMUSG00000022474	Pmm1	ENSMUST00000023112.11
ENSMUSG00000022476	Polr3h	ENSMUST00000023113.6
ENSMUSG00000022477	Aco2	ENSMUST00000023116.6
ENSMUSG00000061360	Phf5a	ENSMUST00000023117.9
ENSMUSG00000022487	Gtsf1	ENSMUST00000023129.14
ENSMUSG00000022489	Pde1b	ENSMUST00000023132.4
ENSMUSG00000022507	1810013L24Rik	ENSMUST00000023150.6
ENSMUSG00000022564	Grina	ENSMUST00000023225.7
ENSMUSG00000022579	Gpihbp1	ENSMUST00000023243.10
ENSMUSG00000022678	Nde1	ENSMUST00000023359.12
ENSMUSG00000022680	Pdxdc1	ENSMUST00000023361.11
ENSMUSG00000022681	Ntan1	ENSMUST00000023362.14
ENSMUSG00000022682	Rrn3	ENSMUST00000023363.7
ENSMUSG00000022704	Qtrt2	ENSMUST00000023387.13
ENSMUSG00000022715	Tmem114	ENSMUST00000023400.3
ENSMUSG00000022722	Arl6	ENSMUST00000023405.15
ENSMUSG00000022724	Riox2	ENSMUST00000023407.11
ENSMUSG00000022814	Umps	ENSMUST00000023510.6
ENSMUSG00000022890	Atp5j	ENSMUST00000023608.13
ENSMUSG00000000386	Mx1	ENSMUST00000023655.12
ENSMUSG00000022945	Chaf1b	ENSMUST00000023666.10
ENSMUSG00000022948	Setd4	ENSMUST00000023669.13
ENSMUSG00000051879	Krt71	ENSMUST00000023710.5
ENSMUSG00000044294	Krt84	ENSMUST00000023720.7
ENSMUSG00000048154	Kmt2d	ENSMUST00000023741.15
ENSMUSG00000061397	Krt79	ENSMUST00000023799.7
ENSMUSG00000023050	Map3k12	ENSMUST00000023812.9
ENSMUSG00000023051	Tarbp2	ENSMUST00000023813.8
ENSMUSG00000023055	Calcoco1	ENSMUST00000023818.10
ENSMUSG00000023106	Denr	ENSMUST00000023869.14
